# Redshift  MKO->GROND  MMT->GROND  VISTA->GROND  SUBARU->GROND  UKIRT->GROND  FourStar->GROND  SOFI->GROND
8.76  0.216000  0.223757  0.180650  0.205064  0.198325  0.113569  0.029659
8.77  0.218382  0.227475  0.183665  0.208001  0.201747  0.113621  0.029803
8.78  0.220527  0.230780  0.186631  0.210957  0.204689  0.113707  0.029908
8.79  0.222455  0.233743  0.189586  0.213986  0.207247  0.113797  0.029976
8.80  0.224222  0.236421  0.192508  0.217064  0.209648  0.113874  0.029983
8.81  0.225819  0.238839  0.195288  0.220146  0.211857  0.113920  0.029955
8.82  0.227285  0.241013  0.197958  0.223161  0.213857  0.113928  0.029915
8.83  0.228690  0.242950  0.200529  0.226021  0.215496  0.113872  0.029843
8.84  0.230086  0.244654  0.202951  0.228631  0.216842  0.113740  0.029692
8.85  0.231399  0.246127  0.205243  0.230913  0.218129  0.113524  0.029464
8.86  0.232661  0.247361  0.207386  0.232832  0.219425  0.113218  0.029119
8.87  0.233838  0.248366  0.209323  0.234415  0.220479  0.112832  0.028653
8.88  0.234882  0.249159  0.211114  0.235709  0.221469  0.112384  0.028086
8.89  0.235848  0.249773  0.212785  0.236773  0.222416  0.111899  0.027451
8.90  0.236608  0.250237  0.214331  0.237655  0.223574  0.111405  0.026777
8.91  0.237116  0.250582  0.215743  0.238395  0.224695  0.110923  0.026034
8.92  0.237377  0.250844  0.217034  0.239024  0.225801  0.110469  0.025287
8.93  0.237457  0.251048  0.218224  0.239566  0.226975  0.110065  0.024519
8.94  0.237355  0.251214  0.219266  0.240058  0.228252  0.109715  0.023742
8.95  0.237031  0.251346  0.220191  0.240540  0.229771  0.109412  0.022943
8.96  0.236534  0.251437  0.220989  0.241040  0.231333  0.109141  0.022153
8.97  0.235861  0.251487  0.221634  0.241558  0.232766  0.108873  0.021361
8.98  0.235056  0.251495  0.222104  0.242065  0.233933  0.108583  0.020579
8.99  0.234196  0.251455  0.222461  0.242519  0.235038  0.108254  0.019803
